systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B452;;;VUT-Malakula/PAC;b.452;
b_water;_boundaries;B453;;;NCL/PAC;b.453;
b_water;_boundaries;B454;;;NZL-Chatham/PAC;b.454;
b_water;_boundaries;B455;;;FJI-Viti Levu/PAC;b.455;
b_water;_boundaries;B456;;;FJI-Vanua Levu/PAC;b.456;
b_water;_boundaries;B457;;;WSM/PAC;b.457;
b_water;_boundaries;B458;;;PYF-Tahiti/PAC;b.458;
b_water;_boundaries;B465;;;USA-WA/PAC;b.465;
b_water;_boundaries;B466;;;USA-WA/PAC;b.466;
b_water;_boundaries;B467;;;USA-WA/PAC;b.467;
b_water;_boundaries;B468;;;USA-WA,OR/PAC;b.468;
b_water;_boundaries;B469;;;USA-OR,CA/PAC;b.469;
b_water;_boundaries;B470;;;USA-CA/PAC;b.470;
b_water;_boundaries;B471;;;USA-CA/PAC;b.471;
b_water;_boundaries;B472;;;USA-WA-Orcas/PAC;b.472;
b_water;_boundaries;B473;;;USA-WA-Lopez/PAC;b.473;
b_water;_boundaries;B474;;;USA-WA-San Juan/PAC;b.474;
b_water;_boundaries;B475;;;USA-WA/PAC;b.475;
b_water;_boundaries;B476;;;USA-WA-Channel/PAC;b.476;
b_water;_boundaries;B477;;;USA-CA-Santa Cruz/PAC;b.477;
b_water;_boundaries;B478;;;USA-CA-San Nicolas/PAC;b.478;
b_water;_boundaries;B479;;;USA-CA-Santa Catalina/PAC;b.479;
b_water;_boundaries;B480;;;USA-CA-San Clemente/PAC;b.480;
b_water;_boundaries;B483;;;USA-AZ,NV/Lake Mead;b.483;
b_water;_boundaries;B485;;;USA-NV,CA/Lake Tahoe;b.485;
b_water;_boundaries;B486;;;USA-UT/Great Salt Lake;b.486;
b_water;_boundaries;B492;;;USA-TX,OK/Lake Texoma;b.492;
b_water;_boundaries;B493;;;USA-TX,LA/Sabine Lake;b.493;
b_water;_boundaries;B501;;;USA-LA/Calcasieu Lake;b.501;
b_water;_boundaries;B502;;;USA-LA/Grand Lake;b.502;
b_water;_boundaries;B503;;;USA-LA/White Lake;b.503;
b_water;_boundaries;B504;;;USA-LA/Lake Maurepas;b.504;
b_water;_boundaries;B505;;;USA-LA/Lake Pon.;b.505;
b_water;_boundaries;B506;;;USA-TX/Gulf of Mexico;b.506;
b_water;_boundaries;B507;;;USA-TX/Gulf of Mexico;b.507;
b_water;_boundaries;B508;;;USA-TX/Gulf of Mexico;b.508;
b_water;_boundaries;B509;;;USA-LA/Gulf of Mexico;b.509;
b_water;_boundaries;B510;;;USA-LA/Gulf of Mexico;b.510;
b_water;_boundaries;B511;;;USA-LA/Gulf of Mexico;b.511;
b_water;_boundaries;B512;;;USA-LA/Gulf of Mexico;b.512;
b_water;_boundaries;B513;;;USA-LA/Gulf of Mexico;b.513;
