systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
boundaries;_boundaries;B768;28;(36.59,-83.60);;b.768;
boundaries;_boundaries;B769;49;(35.86,-82.91);;b.769;
boundaries;_boundaries;B770;99;(37.89,-80.57);;b.770;
boundaries;_boundaries;B771;2;(39.46,-79.48);;b.771;
boundaries;_boundaries;B772;3;(37.99,-75.54);;b.772;
boundaries;_boundaries;B773;16;(39.77,-76.68);;b.773;
boundaries;_boundaries;B774;4;(38.90,-75.57);;b.774;
boundaries;_boundaries;B775;2;(41.17,-74.30);;b.775;
boundaries;_boundaries;B776;5;(46.57,-92.21);;b.776;
boundaries;_boundaries;B777;5;(42.50,-89.09);;b.777;
boundaries;_boundaries;B778;3;(46.18,-89.35);;b.778;
boundaries;_boundaries;B779;3;(40.44,-87.53);;b.779;
boundaries;_boundaries;B780;4;(41.77,-85.66);;b.780;
boundaries;_boundaries;B781;4;(40.47,-84.82);;b.781;
boundaries;_boundaries;B782;3;(41.72,-84.10);;b.782;
boundaries;_boundaries;B783;4;(40.68,-80.52);;b.783;
boundaries;_boundaries;B784;7;(42.03,-77.90);;b.784;
boundaries;_boundaries;B785;9;(41.98,-73.47);;b.785;
boundaries;_boundaries;B786;14;(41.88,-71.90);;b.786;
boundaries;_boundaries;B787;11;(42.79,-71.38);;b.787;
boundaries;_boundaries;B788;5;(41.50,-71.84);;b.788;
boundaries;_boundaries;B789;4;(44.47,-71.03);;b.789;
boundaries;_boundaries;B790;45;(53.57,-116.35);;b.790;
boundaries;_boundaries;B791;54;(50.73,-125.77);;b.791;
boundaries;_boundaries;B792;82;(56.28,-60.26);;b.792;
boundaries;_boundaries;B793;41;(58.52,-94.80);;b.793;
boundaries;_boundaries;B794;148;(46.81,-65.45);;b.794;
boundaries;_boundaries;B795;169;(48.52,-55.08);;b.795;
boundaries;_boundaries;B796;214;(45.46,-62.81);;b.796;
boundaries;_boundaries;B797;12;(62.83,-91.13);;b.797;
boundaries;_boundaries;B798;54;(50.73,-125.77);;b.798;
boundaries;_boundaries;B799;94;(52.23,-83.74);;b.799;
boundaries;_boundaries;B800;81;(46.42,-63.25);;b.800;
boundaries;_boundaries;B801;125;(18.25,-66.42);;b.801;
boundaries;_boundaries;B802;211;(53.43,-67.58);;b.802;
boundaries;_boundaries;B803;33;(53.16,-131.99);;b.803;
boundaries;_boundaries;B804;10;(58.90,-106.40);;b.804;
boundaries;_boundaries;B805;29;(49.36,-125.22);;b.805;
boundaries;_boundaries;B806;51;(62.76,-130.86);;b.806;
boundaries;_boundaries;B807;11;(65.91,-112.69);;b.807;
boundaries;_boundaries;B808;7;(70.30,-112.93);;b.808;
boundaries;_boundaries;B809;37;(52.37,-2.96);;b.809;
boundaries;_boundaries;B810;11;(55.31,-2.62);;b.810;
boundaries;_boundaries;B811;4;(38.90,-77.03);;b.811;
boundaries;_boundaries;B812;328;(21.49,-157.91);;b.812;
boundaries;_boundaries;B813;4;(28.00,-113.49);;b.813;
boundaries;_boundaries;B814;12;(32.09,-114.95);;b.814;
boundaries;_boundaries;B815;11;(26.66,-108.73);;b.815;
